MAC,SSID,Encryption,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
80:03:84:67:7f:90,Ivy Mayfair Private,WPA2,22-08-2024 02:01,1,2412,-85,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
80:03:84:67:7f:91,,WPA2,22-08-2024 02:01,1,2412,-85,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
80:03:84:67:7f:92,The Ivy - Private,WPA2,22-08-2024 02:01,1,2412,-85,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
80:03:84:67:7f:93,The Ivy - Public,Open,22-08-2024 02:01,1,2412,-85,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:84:62,The Ivy - Private,WPA2,22-08-2024 02:01,1,2412,-98,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:84:63,The Ivy - Public,Open,22-08-2024 02:01,1,2412,-97,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:84:60,Ivy Mayfair Private,WPA2,22-08-2024 02:01,1,2412,-97,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:84:61,,WPA2,22-08-2024 02:01,1,2412,-99,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:33:d3,The Ivy - Public,Open,22-08-2024 02:01,11,2462,-59,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:33:d2,The Ivy - Private,WPA2,22-08-2024 02:01,11,2462,-56,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:33:d1,,WPA2,22-08-2024 02:01,11,2462,-56,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5c:33:d0,Ivy Mayfair Private,WPA2,22-08-2024 02:01,11,2462,-56,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:9b:df:d3,The Ivy - Public,Open,22-08-2024 02:01,132,5660,-73,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:9b:df:d0,Ivy Mayfair Private,WPA2,22-08-2024 02:01,132,5660,-73,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:9b:df:d1,,WPA2,22-08-2024 02:01,132,5660,-73,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:9b:df:d2,The Ivy - Private,WPA2,22-08-2024 02:01,132,5660,-73,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5b:be:62,The Ivy - Private,WPA2,22-08-2024 02:01,11,2462,-79,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5b:be:63,The Ivy - Public,Open,22-08-2024 02:01,11,2462,-79,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5b:be:60,Ivy Mayfair Private,WPA2,22-08-2024 02:01,11,2462,-79,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
fc:5c:45:5b:be:61,,WPA2,22-08-2024 02:01,11,2462,-80,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI
