MAC,SSID,Encryption,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type,Encryption_category
80:03:84:67:7f:93,The Ivy - Public,Open,22-08-2024 02:01,1.0,2412.0,-85,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:5c:84:63,The Ivy - Public,Open,22-08-2024 02:01,1.0,2412.0,-97,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:5c:33:d3,The Ivy - Public,Open,22-08-2024 02:01,11.0,2462.0,-59,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:9b:df:d3,The Ivy - Public,Open,22-08-2024 02:01,132.0,5660.0,-73,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:5b:be:63,The Ivy - Public,Open,22-08-2024 02:01,11.0,2462.0,-79,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:9c:40:43,The Ivy - Public,Open,22-08-2024 02:01,120.0,5600.0,-68,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:5c:40:43,The Ivy - Public,Open,22-08-2024 02:01,6.0,2437.0,-69,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:5b:df:d3,The Ivy - Public,Open,22-08-2024 02:01,6.0,2437.0,-72,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:9c:33:d3,The Ivy - Public,Open,22-08-2024 02:01,52.0,5260.0,-66,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:9b:be:63,The Ivy - Public,Open,22-08-2024 02:01,60.0,5300.0,-84,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
80:03:84:a7:7f:93,The Ivy - Public,Open,22-08-2024 02:01,132.0,5660.0,-91,51.5126976,-0.1528133,72.5,15.10599995,,,WIFI,Unknown
fc:5c:45:9c:33:d3,The Ivy - Public,Open,22-08-2024 02:02,52.0,5260.0,-61,51.51268876,-0.152821512,72.5,42.5,,,WIFI,Unknown
fc:5c:45:9c:33:d3,The Ivy - Public,Open,22-08-2024 02:04,52.0,5260.0,-56,51.51269904,-0.152808398,72.5,20.10000038,,,WIFI,Unknown
fc:5c:45:9b:df:d3,The Ivy - Public,Open,22-08-2024 02:06,132.0,5660.0,-67,51.51269797,-0.152815947,72.5,18.68600082,,,WIFI,Unknown
